"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Curl Bicipiti (Manubrio)",,"",2,"normal",6,8,,0,
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Estensione Tricipiti (Manubrio)",,"",0,"normal",6,10,,0,
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Estensione Tricipiti (Manubrio)",,"",1,"normal",8,10,,0,
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Estensione Tricipiti (Manubrio)",,"",2,"normal",8,10,,0,
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Estensione Tricipiti (Manubrio)",,"",3,"normal",8,8,,0,
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Cable Crunch",,"",0,"normal",15,8,,0,
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Cable Crunch",,"",1,"normal",12.5,8,,0,
"Giorno B","5 lug 2026, 16:40","5 lug 2026, 17:40","","Cable Crunch",,"",2,"normal",15,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Ponte Glutei",,"",0,"normal",,20,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Plank",,"",0,"normal",,0,,66,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Hip Thrust (macchina)",,"",0,"normal",37.5,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Hip Thrust (macchina)",,"",1,"normal",37.5,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Hip Thrust (macchina)",,"",2,"normal",37.5,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Hip Thrust (macchina)",,"",3,"normal",37.5,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",0,"normal",22,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",1,"normal",22,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",2,"normal",22,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Affondi (Manubrio)",,"",0,"normal",8,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Affondi (Manubrio)",,"",1,"normal",8,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Affondi (Manubrio)",,"",2,"normal",8,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Estensione Dorso (Ipertensione con Peso)",,"",0,"normal",10,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Estensione Dorso (Ipertensione con Peso)",,"",1,"normal",8,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Estensione Dorso (Ipertensione con Peso)",,"",2,"normal",8,8,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Estensioni Glutei al Cavo",,"",0,"normal",10,10,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Estensioni Glutei al Cavo",,"",1,"normal",10,10,,0,
"Giorno C","3 lug 2026, 19:06","3 lug 2026, 20:27","","Estensioni Glutei al Cavo",,"",2,"normal",10,10,,0,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Ponte Glutei",,"",0,"normal",,25,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Plank",,"",0,"normal",,,,59,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Stacco da Terra Rumeno (Bilanciere)",,"",0,"normal",50,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Stacco da Terra Rumeno (Bilanciere)",,"",1,"normal",50,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Stacco da Terra Rumeno (Bilanciere)",,"",2,"normal",50,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Stacco da Terra Rumeno (Bilanciere)",,"",3,"normal",50,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Lento in Avanti in Piedi (Bilanciere)",,"",0,"normal",15,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Lento in Avanti in Piedi (Bilanciere)",,"",1,"normal",15,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Lento in Avanti in Piedi (Bilanciere)",,"",2,"normal",15,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Lento in Avanti in Piedi (Bilanciere)",,"",3,"normal",15,6,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Step Up",,"",0,"normal",,8,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Step Up",,"",1,"normal",,8,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Step Up",,"",2,"normal",,8,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Pushdown Tricipiti",,"",0,"normal",12.5,10,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Pushdown Tricipiti",,"",1,"normal",10,10,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Pushdown Tricipiti",,"",2,"normal",10,10,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Estensioni Glutei al Cavo",,"",0,"normal",7.5,8,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Estensioni Glutei al Cavo",,"",1,"normal",7.5,8,,,
"Giorno A","30 giu 2026, 19:14","30 giu 2026, 20:38","","Estensioni Glutei al Cavo",,"",2,"normal",7.5,8,,,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Ponte Glutei",,"",0,"normal",,20,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Plank",,"",0,"normal",,0,,54,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Stacco da Terra Rumeno (Bilanciere)",,"",0,"normal",47,6,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Stacco da Terra Rumeno (Bilanciere)",,"",1,"normal",47,6,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Stacco da Terra Rumeno (Bilanciere)",,"",2,"normal",47,6,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Stacco da Terra Rumeno (Bilanciere)",,"",3,"normal",47,6,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Hip Thrust (macchina)",,"",0,"normal",40,7,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Hip Thrust (macchina)",,"",1,"normal",40,7,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Hip Thrust (macchina)",,"",2,"normal",40,7,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Affondo Bulgaro",,"",0,"normal",8,10,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Affondo Bulgaro",,"",1,"normal",8,10,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Affondo Bulgaro",,"",2,"normal",8,10,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Estensioni Glutei al Cavo",,"",0,"normal",10,11,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Estensioni Glutei al Cavo",,"",1,"normal",10,11,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Estensioni Glutei al Cavo",,"",2,"normal",10,11,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Leg Curl Seduto (Macchina)",,"",0,"normal",30,14,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Leg Curl Seduto (Macchina)",,"",1,"normal",30,14,,0,
"Giorno C","29 giu 2026, 18:40","29 giu 2026, 20:03","","Leg Curl Seduto (Macchina)",,"",2,"normal",30,14,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Plank",,"",0,"normal",,0,,45,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lat Pulldown (Cavo)",,"",0,"normal",40,7,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lat Pulldown (Cavo)",,"",1,"normal",40,7,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lat Pulldown (Cavo)",,"",2,"normal",40,7,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lat Pulldown (Cavo)",,"",3,"normal",40,7,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lento in Avanti (Manubrio)",,"",0,"normal",10,6,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lento in Avanti (Manubrio)",,"",1,"normal",10,6,,0,
"Giorno B","16 giu 2026, 18:45","16 giu 2026, 19:49","","Lento in Avanti (Manubrio)",,"",2,"normal",10,6,,0,
