"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",0,"normal",20,10,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",1,"normal",20,10,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Stacco Rumeno a Gamba Singola (Manubrio)",,"",2,"normal",20,10,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Aperture Laterali (Manubrio)",,"",0,"normal",4,11,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Aperture Laterali (Manubrio)",,"",1,"normal",4,11,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Aperture Laterali (Manubrio)",,"",2,"normal",4,11,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Aperture Laterali (Manubrio)",,"",3,"normal",4,11,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Estensione Dorso (Ipertensione con Peso)",,"",0,"normal",8,11,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Estensione Dorso (Ipertensione con Peso)",,"",1,"normal",8,11,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Estensione Dorso (Ipertensione con Peso)",,"",2,"normal",8,11,,0,
"Giorno A","8 giu 2026, 18:45","8 giu 2026, 20:07","","Calf Raise Gamba Singola in Piedi ",,"",0,"normal",,21,,0,
